,name,color,mat,sty,occa,patt,info,price,path
143,直筒中腰牛仔褲,丹寧藍,"棉 98%, 彈性纖維 2%","Casual, faded, denim, classic, straight-leg.","Casual, Everyday, Streetwear.","Gradation, denim, whiskering, fading, stitching.",5袋式棉質丹寧牛仔褲，微彈性布料，讓穿著倍添舒適。直筒褲管，腰部至褲腳為合身剪裁，腿部略為寬鬆舒適。中腰剪裁，拉鍊門襟。不敗丹寧款。,"NT$1,499",image/hm/man/27.jpg
144,標準剪裁圖案連帽上衣,深藍色,"棉 58%, 聚酯纖維 42%","Casual, sporty, comfortable, contemporary.","Casualwear, Sportswear, Loungewear",Solid-color,連帽上衣，棉質混紡汗衫布料，標準剪裁，連衣帽有內裡和抽繩，正面印圖案，有袋鼠袋，羅紋袖口和下襬。柔軟刷毛內裡。,NT$799,image/hm/man/28.jpg
145,標準剪裁絨布夾克襯衫,奶油色,棉 100%,"Casual, contemporary, relaxed-fit, utilitarian.","Casual, Business-Casual",Vertical stripes.,有領夾克襯衫，柔軟棉質絨布布料，正面拉鍊開襟，標準剪裁，有翻蓋式胸袋，長袖袖口配鈕扣，平切下襬。,"NT$1,499",image/hm/man/29.jpg
146,休閒剪裁運動長褲,海軍藍,"棉 60%, 聚酯纖維 40%","Casual, comfortable, sporty, simple, relaxed.","Athletics, casual-wear, lounging, exercise.","Solid, navy",運動長褲，中量棉質混紡汗衫布料，柔軟刷毛內裡。覆面鬆緊帶腰圍配抽繩，側縫處有口袋，羅紋褲腳。非加大碼休閒剪裁，打造隨興風格。,NT$599,image/hm/man/30.jpg
147,THERMOLITE® 標準剪裁平紋上衣,鼠尾草綠,"棉 60%, 聚酯纖維 40%","Simple, casual, basic.",Casualwear,Solid,長袖上衣，輕薄平紋布料，羅紋圓領，平切下襬。標準剪裁，打造舒適經典線條。採用THERMOLITE®技術，布料輕薄但具保暖效果。,NT$499,image/hm/man/31.jpg
148,標準剪裁圖案連帽上衣,深灰色/Universal Mysteries,"棉 58%, 聚酯纖維 42%","Casual, sporty, comfortable",Casualwear,"Solid-color, graphic-print",連帽上衣，棉質混紡汗衫布料，標準剪裁，連衣帽有內裡和抽繩，正面印圖案，有袋鼠袋，羅紋袖口和下襬。柔軟刷毛內裡。,NT$799,image/hm/man/32.jpg
149,THERMOLITE® 標準剪裁平紋上衣,淺米色,"棉 60%, 聚酯纖維 40%","Simple, casual, basic, neutral, minimalist.",Casualwear,Plain,長袖上衣，輕薄平紋布料，羅紋圓領，平切下襬。標準剪裁，打造舒適經典線條。採用THERMOLITE®技術，布料輕薄但具保暖效果。,NT$499,image/hm/man/33.jpg
150,標準剪裁提花針織套衫,深咖啡色/印花,"聚丙烯腈纖維 54%, 聚醯胺纖維 41%, 羊駝毛 5%","Traditional, patterned, cozy, knitwear","Casual, Autumn, Winter, Everyday.","Fair Isle, geometric, zigzag, diamonds, horizontal bands.",柔軟提花針織套衫，含羊駝毛，標準剪裁，長拼接袖，羅紋領口、袖口和下襬。,"NT$1,799",image/hm/man/34.jpg
151,寬鬆剪裁連帽上衣,淺咖啡色,"棉 60%, 聚酯纖維 40%","Casual, comfortable, sporty, relaxed, simple.","Casual, Sport, Leisure","Solid color, no pattern.",連帽上衣，中量棉質混紡汗衫布料，柔軟刷毛內裡。連衣帽有平紋內裡和抽繩，垂肩長袖，有袋鼠袋，寬邊羅紋袖口和下襬。非加大碼寬鬆剪裁，打造寬版線條。,NT$599,image/hm/man/35.jpg
152,貼身輕薄鋪棉背心,黑色,聚酯纖維 100%,"Casual, practical, insulated, lightweight.","Casual, Outdoor, Autumn-Winter",Quilting,平織車縫薄鋪棉背心，立領，正面拉鍊有防磨擋布，貼身剪裁，有拉鍊式隱形側袋和開口式暗袋。袖口有細彈性飾邊。無內裡。,NT$999,image/hm/man/36.jpg
153,標準剪裁毛氈夾克襯衫,深藍色/格紋,"聚酯纖維 78%, 羊毛 22%","Casual, plaid, buttoned, collared, long-sleeved, and tailored.","Casual, everyday wear.",Plaid,單排扣大衣，羊毛混紡毛氈布料，缺口翻領，正面鈕扣開襟，有嵌線斜側袋。衣袖有內裡。,"NT$1,499",image/hm/man/37.jpg
154,標準剪裁寬高領開襟衫,米色,"棉 63%, 聚酯纖維 37%","Classic, cozy, knitted, casual, button-up, turtleneck, textured.","Casual, everyday, cold-weather","Knit, ribbed, heather-textured.",長袖連帽上衣，柔軟汗衫布料布料，雙層連衣帽有抽繩，正面交疊設計。有袋鼠袋，羅紋袖口和下襬。,"NT$1,799",image/hm/man/38.jpg
155,DryMove™運動工作短褲,米色/大理石紋,"棉 60%, 聚酯纖維 40%","Casual, sporty, camouflaged.","Casual, Sportswear, Leisure","Camouflage, branches, leaves, neutral tones",長袖連帽上衣，柔軟汗衫布料布料，雙層連衣帽有抽繩，正面交疊設計。有袋鼠袋，羅紋袖口和下襬。,NT$999,image/hm/man/39.jpg
156,DryMove™運動背心上衣,咖啡色/印花,"棉 59%, 聚酯纖維 41%","Casual, camouflaged, sleeveless, patterned.",Casualwear,Camouflage,上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,NT$599,image/hm/man/40.jpg
157,Loose Fit Bouclé overshirt,黑色,"棉 60%, 聚酯纖維 40%","Classic, casual, textured, simple.","Casual, Everyday, Outdoor",There is no discernible pattern; the garment appears to have a solid color.,上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,"NT$1,799",image/hm/man/41.jpg
158,DryMove™運動T恤,黑色,"棉 60%, 聚酯纖維 40%","Casual, modern, minimalist.",Casualwear,"Geometric shapes, letters",上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,NT$699,image/hm/man/42.jpg
159,貼身牛仔褲,深丹寧藍,棉 100%,"Casual, classic, denim",Casual,"Denim, jeans, stitching, fades, whiskering.",有領襯衫式外套，柔軟棉質絨布布料，正面鈕扣開襟，休閒剪裁，有翻蓋式胸袋，袖口配鈕扣，平切下襬。無內裡。,NT$799,image/hm/man/43.jpg
160,DryMove™運動背心上衣,淺米色,"聚酯纖維 74%, 聚丙烯腈纖維 20%, 嫘縈 4%, 聚醯胺纖維 2%","Minimalist, casual, sporty.",Casualwear,Solid-color,有領夾克襯衫，柔軟平織布料，正面鈕扣開襟，背面有肩襠，有鈕扣式翻蓋胸袋，長袖袖口配鈕扣。,NT$599,image/hm/man/44.jpg
161,DryMove™運動背心上衣,黑色,"棉 60%, 聚酯纖維 40%","Sleeveless, modern, casual, athletic, basic, black.","Casual, sport, workout, leisure, streetwear.","Solid-color, logo",長袖連帽上衣，棉質混紡汗衫布料，印有圖案。休閒剪裁，雙層連衣帽有抽繩，有袋鼠袋，羅紋袖口和下襬。柔軟刷毛內裡。,NT$599,image/hm/man/45.jpg
162,中腰錐形牛仔褲,丹寧藍,"棉 60%, 聚酯纖維 40%","Casual, fitted, denim, versatile.",Casual,"Denim, whiskering, fading.",上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁，垂肩設計，羅紋領口、袖口和下襬。,"NT$1,499",image/hm/man/46.jpg
163,標準剪裁Polo衫,White,"聚丙烯腈纖維 54%, 聚醯胺纖維 41%, 羊駝毛 5%","Classic, minimalistic, cozy.","Casual, business casual, everyday wear.",Ribbing,柔軟提花針織套衫，含羊駝毛，標準剪裁，長拼接袖，羅紋領口、袖口和下襬。,"NT$1,499",image/hm/man/47.jpg
164,休閒剪裁圖案運動衫,米色/Bring Peace,"聚丙烯腈纖維 65%, 聚醯胺纖維 25%, 羊毛 10%","Casual, comfortable, minimalist, contemporary.",Casualwear.,Typography,絞花針織套衫，柔軟羊毛混紡布料，標準剪裁，羅紋立領，上部有拉鍊，長袖款式。,NT$799,image/hm/man/48.jpg
165,DryMove™口袋細節運動衫,黑色,"聚酯纖維 73%, 聚丙烯腈纖維 25%, 羊毛 2%","Casual, simple, functional, modern, monochromatic, relaxed.","Casual, Leisure, Sportswear, Everyday.",There is no pattern; this is a plain black sweatshirt.,有領夾克襯衫，柔軟平織布料，正面鈕扣開襟，背面有肩襠，有鈕扣式翻蓋胸袋，長袖袖口配鈕扣。,"NT$1,299",image/hm/man/49.jpg
166,休閒剪裁圖案連帽上衣,綠色/Never Stay Down,棉 100%,"Casual, comfortable, sporty, collegiate.",Casualwear,"Hoodie, text, graphic.",棉質牛津布襯衫，標準剪裁，鈕扣領，經典前襟設計，背面有肩襠，有開口式單胸袋，長袖袖口配鈕扣，袖衩配單顆鈕扣，微圓下襬。,NT$999,image/hm/man/50.jpg
167,Oversized trenchcoat,米色,聚酯纖維 100%,"Classic, sophisticated, timeless, tailored.","Business, casual, formal events, or transitional weather outerwear.",Solid color.,"Oversized, calf-length, single-breasted trenchcoat in woven fabric with notch lapels, buttons at the front and a storm flap at the back. Shoulder tabs and a tab at the cuffs with a button, a detachable tie-belt at the waist, pockets in the side seams and a single back vent. Lined.","NT$3,499",image/hm/woman/1.jpg
168,精織開襟衫,黑色,"嫘縈 70%, 聚醯胺纖維 30%","Classic, simple, versatile, monochrome","Casual, Work, Everyday.","Solid, plain, knit, ribbed trim.",精織開襟衫，柔軟嫘縈混紡布料，正面鈕扣開襟，羅紋領口、袖口和下襬。,NT$399,image/hm/woman/2.jpg
169,羅紋針織曲線洋裝,黑色,"聚酯纖維 50%, 聚醯胺纖維 27%, 嫘縈 23%","Simple, classic, elegant.","Formal, business, cocktail, funeral, evening.","Solid, texture",羅紋針織中長版洋裝，合身剪裁，正面開寬領口，後領低開，微喇叭長袖，前襬開單衩。,"NT$1,499",image/hm/woman/3.jpg
170,絞花針織裙,深灰色,"聚酯纖維 60%, 聚丙烯腈纖維 34%, 羊毛 6%","Classic, elegant, textured, conservative, knit.","Business, office, formal, corporate events.","Herringbone, cable-knit.",柔軟絞花針織裙，長度及踝，合身剪裁，羅紋覆面鬆緊帶腰圍。,NT$999,image/hm/woman/4.jpg
171,寬鬆高腰牛仔褲,丹寧藍,"棉 99%, 彈性纖維 1%","Casual, classic, wide-leg, denim, blue.","Casual, everyday, informal events","Denim, twill weave, fading, whiskering.",5袋式水洗棉質丹寧牛仔褲，高腰剪裁，拉鍊門襟配鈕扣，寬直筒褲管。,NT$999,image/hm/woman/5.jpg
172,小喇叭高腰牛仔褲,黑色,"棉 99%, 彈性纖維 1%","Casual, classic, versatile.",Casualwear,Solid-color,5袋式棉質丹寧牛仔褲，微彈性布料，讓穿著倍添舒適。小喇叭褲管，腰部至大腿為貼身設計，膝部以下喇叭剪裁。高腰剪裁，拉鍊門襟配鈕扣。標準褲長蓋過腳踝，褲腳不疊皺拖地。四季不敗的時尚單品。,NT$799,image/hm/woman/6.jpg
173,加大碼泰迪熊布料內裡外套,深咖啡色,聚酯纖維 100%,"Rugged, classic, warm, aviator-inspired.","Winter, casual, outdoors.","Solid-color, two-tone",加大碼外套，衣領、袖口、下襬和內裡皆為柔軟泰迪熊布料。大衣領有可調式扣帶，寬翻領。正面斜拉鍊開襟，長袖款式，有嵌線斜前袋。,"NT$1,999",image/hm/woman/7.jpg
174,Oversized double-breasted blazer,黑色,聚酯纖維 100%,"Classic, tailored, formal, sophisticated.","Business, formal events, office wear, interviews, ceremonies.","Solid color, no pattern.","Oversized, double-breasted twill blazer with peak lapels and buttons at the front. Buttoned cuffs and jetted front pockets. Lined.","NT$1,799",image/hm/woman/8.jpg
175,加大碼拉鍊洋裝,奶油色,"聚酯纖維 77%, 聚丙烯腈纖維 20%, 彈性纖維 3%","Minimalist, contemporary, oversized, casual.","Casual, everyday wear.",Ribbing,柔軟羅紋針織短洋裝，加大碼剪裁，立領，上部有拉鍊，長袖款式。,"NT$1,499",image/hm/woman/9.jpg
176,加大碼T恤,白色,棉 100%,"Minimalist, modern.",Casualwear,Solid color.,加大碼T恤，柔軟棉質平紋布料，羅紋領口，低垂肩設計。,NT$349,image/hm/woman/10.jpg
177,Single-breasted blazer,黑色,聚氨酯 100%,"Sleek, modern, edgy.","Evening, Fashion, Business, Casual, Party",Solid.,"Loose-fit, single-breasted blazer with notch lapels, buttons at the front, welt front pockets and a single back vent. Lined.","NT$1,799",image/hm/woman/11.jpg
178,絨布傘兵褲,淺灰色,棉 100%,"Casual, comfortable, contemporary",Casual loungewear,Solid,柔軟棉質絨布長褲，中腰寬鬆剪裁，覆面鬆緊帶腰圍配抽繩，有斜側袋和一個翻蓋式後袋。直筒褲管，膝部兩側有抓褶，可增加寬鬆度。褲腳有抽繩。,NT$999,image/hm/woman/12.jpg
179,羅紋莫代爾混紡T恤,白色,"棉 48%, 莫代爾纖維 47%, 彈性纖維 5%","Simple, classic, basic, casual.","Casual, everyday, sport, leisure, basic",Solid color.,羅紋平紋T恤，柔軟棉質莫代爾纖維布料，合身剪裁，領口有窄飾邊，平切下襬。,NT$299,image/hm/woman/13.jpg
180,錐形長褲,深綠色,"聚酯纖維 77%, 嫘縈 18%, 彈性纖維 5%","Elegant, tailored, high-waisted.","Business, formal events, office work.",Solid,修身長褲，平織布料，高腰寬鬆剪裁，拉鍊門襟配隱形鈕扣和鉤扣，背面有覆面鬆緊帶。有斜側袋和嵌線後袋。收窄褲管上部有抓褶，前後有褶線。,NT$999,image/hm/woman/14.jpg
181,套衫,None,"聚酯纖維 77%, 嫘縈 18%, 彈性纖維 5%","Classic, understated, versatile.",Casualwear,"Heathered, knitwear.",None,NT$999,image/hm/woman/15.jpg
182,針織裙,None,"聚酯纖維 77%, 嫘縈 18%, 彈性纖維 5%","Classic, sophisticated, minimalist.","Business, office, formal, work, professional.","Heathered, knit, texture.",None,NT$999,image/hm/woman/16.jpg
183,MAMA 2件入平紋內搭褲,黑色,"棉 50%, 嫘縈 45%, 彈性纖維 5%","Simple, monochromatic, sleek, versatile, contemporary.","Formal, business, office.","Solid color, no visible pattern",內搭褲，柔軟平紋布料，腰部拼接寬布段，讓腹部穿著更服貼。,NT$699,image/hm/woman/17.jpg
184,珠飾上衣,黑色,"嫘縈 70%, 聚醯胺纖維 30%","Modern, simplistic, chic.",Casualwear,Solid,柔軟羅紋針織上衣，合身剪裁，長袖款式，桃心領，前胸鎖眼開口飾塑膠珍珠。,NT$799,image/hm/woman/18.jpg
185,羅紋圓高領上衣,黑色,"棉 95%, 彈性纖維 5%","Classic, minimalist, versatile, sleek.","Business, Casual, Everyday",Ribbing,長袖圓高領上衣，棉質羅紋平紋布料。,NT$399,image/hm/woman/19.jpg
186,MAMA 2件入產前/產後哺乳上衣,黑色/奶油色,"棉 95%, 彈性纖維 5%","Minimalist, modern, monochromatic.",Casualwear.,Solid_colors,短袖哺乳上衣，柔軟棉質平紋布料，獨特哺乳設計。雙層設計方便哺乳，同時有助於保暖。孕期和產後哺乳皆適用。,NT$999,image/hm/woman/20.jpg
187,羅紋針織曲線洋裝,混黑色,"聚酯纖維 55%, 嫘縈 23%, 聚醯胺纖維 22%","Elegant, classic, modest, fitted, knit, sophisticated.","Business, work, semi-formal events, office.",Herringbone knit,中長版洋裝，柔軟羅紋針織布料，合身剪裁，低圓領，胸前有全成型設計。加長拼接袖，袖口開單衩。,NT$799,image/hm/woman/21.jpg
188,斜紋寬管褲,黑色,"棉 98%, 彈性纖維 2%","Wide-legged, high-waisted, minimalistic.","Casual, everyday wear.","Solid, contrast-stitching",棉質斜紋長褲，高腰剪裁，拉鍊門襟配鈕扣，有前袋和後袋，寬直筒褲管。,NT$699,image/hm/woman/22.jpg
189,蕾絲超托高胸罩,黑色,"聚醯胺纖維 88%, 彈性纖維 12%","Lacy, delicate, feminine, elegant, black.",Intimatewear,"Lace, floral pattern.",蕾絲超托高胸罩，可調式肩帶，厚墊鋼圈罩杯，可打造極致豐盈胸形及迷人深溝。背扣有鉤扣。,NT$799,image/hm/woman/23.jpg
190,褶線長褲,米色,"聚酯纖維 76%, 嫘縈 18%, 彈性纖維 6%","Classic, tailored, neutral, professional.","Business, office, formal events.",Vertical ribbing,平織布料長褲，中腰剪裁，拉鍊門襟配隱形鉤扣，有斜側袋和假嵌線後袋，貼身褲管正面有內縫褶線。,NT$999,image/hm/woman/24.jpg
191,綢緞襯衫,白色,聚酯纖維 100%,"Classic, sophisticated, minimalist.","Business, formal, office.",Solid,綢緞襯衫，帶柔軟垂墜感，正面鈕扣開襟，微垂肩長袖，袖口有單衩和鈕扣。圓邊下襬。,NT$799,image/hm/woman/25.jpg
192,5件入細肩帶上衣,深灰色/淺藍色,"棉 95%, 彈性纖維 5%","Basic, casual, comfortable.",Casual wear,Solid colors.,細肩帶上衣，柔軟平紋布料，合身剪裁，V領。,NT$799,image/hm/woman/26.jpg
193,加大碼T恤,黑色,棉 100%,"Simple, casual, minimalistic, oversized, basic, monochromatic.","Casual, everyday, leisure",Solid.,加大碼T恤，柔軟棉質平紋布料，羅紋領口，低垂肩設計。,NT$349,image/hm/woman/27.jpg
194,90s Baggy High Jeans,黑色,聚酯纖維 100%,"Glossy, chic, contemporary","Fashion, party, casual, trendy.",Plain,"5-pocket jeans in rigid cotton denim that feels firm at first but then softens and loosens with wear. Straight leg with a loose fit from the waist to the hip and a baggy fit from the thigh to the hem. High waist with a zip fly and button. Longer length, designed to fall over the foot with a stacking effect. A relaxed and cool denim statement.",NT$999,image/hm/woman/28.jpg
195,套衫,黑色,聚丙烯腈纖維 100%,"Classic, simplistic, versatile, cozy.","Casual, Everyday, Winterwear","Solid, knit",柔軟針織套衫，低垂肩長袖，羅紋圓領、袖口和下襬。,NT$399,image/hm/woman/29.jpg
196,丹寧工作褲,淺丹寧藍,棉 100%,"Casual, distressed, utilitarian.",Casualwear,"Denim, fading, stitching, pockets, frayed hems.",丹寧工作褲，高腰寬鬆剪裁，拉鍊門襟配鈕扣，有斜前袋和後袋，直筒褲管有風琴袋和接縫設計。,NT$999,image/hm/woman/30.jpg
197,Tie-neck chiffon blouse,黑色,聚酯纖維 100%,"Elegant, feminine, sophisticated, ruffled.","Business, formal event, dinner party.",Solid.,"Oversized blouse in sheer, crinkled chiffon with concealed buttons down the front. Stand-up collar with wide ties at the front and long, voluminous raglan sleeves with narrow elastication and a flounce at the cuffs. Overlocked edges at the cuffs and hem. Unlined.",NT$699,image/hm/woman/31.jpg
198,2件入背心上衣,白色/黑色,"棉 95%, 彈性纖維 5%","Basic, casual, versatile, sleeveless, monochromatic.",Casualwear.,Solid colors,背心上衣，棉質平紋布料，低圓領，平切下襬。,NT$399,image/hm/woman/32.jpg
199,蕾絲無墊鋼圈胸罩,淺灰色,"聚醯胺纖維 88%, 彈性纖維 12%","Delicate, feminine, lacy, sheer, elegant.","Lingerie, undergarment.","Lace, floral embroidery",蕾絲無墊鋼圈胸罩，可調式肩帶，罩杯有網紗內裡，可塑造自然胸形，提供輕度支撐。背扣有鉤扣。,NT$599,image/hm/woman/33.jpg
200,絨布長褲,深咖啡色,棉 100%,"Casual, corduroy, wide-leg, high-waisted, textured.","Casual, everyday wear.",Corduroy,棉質絨布長褲，高腰休閒剪裁，拉鍊門襟配鈕扣，有前袋和後袋，寬直筒褲管。,NT$699,image/hm/woman/34.jpg
201,綢緞背心上衣,深灰色,"嫘縈 51%, 聚酯纖維 49%","Casual, sleeveless, basic, relaxed-fit.",Casualwear,Solid,綢緞背心上衣，帶柔軟垂墜感，前後開低圓領，寬肩帶，微圓下襬。,NT$349,image/hm/woman/35.jpg
202,棉質混紡運動長褲,黑色,"棉 60%, 聚酯纖維 40%","Casual, comfortable, sporty.","Casual, sportswear, loungewear, exercise.",Plain,運動長褲，柔軟棉質混紡汗衫布料，高腰剪裁，覆面鬆緊帶腰圍配抽繩，有側袋，褲腳有覆面鬆緊帶。柔軟刷毛內裡。,NT$499,image/hm/woman/36.jpg
203,帆布工作褲,卡其綠,聚酯纖維 100%,"Utility, practical, casual","Outdoor activities, hiking, workwear, casual","Solid color, cargo pockets","Oversized, calf-length, single-breasted trenchcoat in woven fabric with notch lapels, buttons at the front and a storm flap at the back. Shoulder tabs and a tab at the cuffs with a button, a detachable tie-belt at the waist, pockets in the side seams and a single back vent. Lined.",NT$699,image/hm/woman/37.jpg
204,精織套衫,黑色,"嫘縈 70%, 聚醯胺纖維 30%","Simple, classic, casual, versatile, timeless.","Casual, Everyday, Cold-Weather",Ribbing,精織開襟衫，柔軟嫘縈混紡布料，正面鈕扣開襟，羅紋領口、袖口和下襬。,NT$799,image/hm/woman/38.jpg
205,Thong 2件入蕾絲內褲,黑色,"聚酯纖維 50%, 聚醯胺纖維 27%, 嫘縈 23%","Lacy, delicate, feminine.","Lingerie, Intimacy, Personalwear","Lace, floral pattern.",羅紋針織中長版洋裝，合身剪裁，正面開寬領口，後領低開，微喇叭長袖，前襬開單衩。,NT$449,image/hm/woman/39.jpg
206,圓高領上衣,黑色,"聚酯纖維 60%, 聚丙烯腈纖維 34%, 羊毛 6%","Casual, comfortable, textured, metallic-finish, long-sleeved, turtleneck.","Casual, Everyday, Autumn, Winter","Zigzag, ribbed, knitwear.",柔軟絞花針織裙，長度及踝，合身剪裁，羅紋覆面鬆緊帶腰圍。,NT$499,image/hm/woman/40.jpg
207,Wide Ultra High Jeans,丹寧藍,"棉 99%, 彈性纖維 1%","Casual, classic, denim, relaxed-fit.",Casualwear,"Denim, whiskering, fading, stitching.",5袋式水洗棉質丹寧牛仔褲，高腰剪裁，拉鍊門襟配鈕扣，寬直筒褲管。,NT$999,image/hm/woman/41.jpg
208,2件入棉質上衣,黑色/白色,"棉 99%, 彈性纖維 1%","Simple, classic, monochromatic, versatile.",Casualwear,Solid colors.,5袋式棉質丹寧牛仔褲，微彈性布料，讓穿著倍添舒適。小喇叭褲管，腰部至大腿為貼身設計，膝部以下喇叭剪裁。高腰剪裁，拉鍊門襟配鈕扣。標準褲長蓋過腳踝，褲腳不疊皺拖地。四季不敗的時尚單品。,NT$599,image/hm/woman/42.jpg
209,羅紋上衣,淺米色,聚酯纖維 100%,"Simple, minimalist, casual","Casual, everyday, layering, fall, spring",Ribbing,加大碼外套，衣領、袖口、下襬和內裡皆為柔軟泰迪熊布料。大衣領有可調式扣帶，寬翻領。正面斜拉鍊開襟，長袖款式，有嵌線斜前袋。,NT$349,image/hm/woman/43.jpg
210,針織帽,白色,聚酯纖維 100%,"Simple, classic, cozy.","Winter, Cold Weather, Outdoor Activities",Ribbed knit pattern.,"Oversized, double-breasted twill blazer with peak lapels and buttons at the front. Buttoned cuffs and jetted front pockets. Lined.",NT$299,image/hm/woman/44.jpg
211,長袖上衣,黑色,"聚酯纖維 77%, 聚丙烯腈纖維 20%, 彈性纖維 3%","Simple, classic, casual, monochromatic, ribbed.",Casualwear,Ribbing,柔軟羅紋針織短洋裝，加大碼剪裁，立領，上部有拉鍊，長袖款式。,NT$299,image/hm/woman/45.jpg
212,寬管褲,黑色,棉 100%,"Classic, formal, tailored, professional.","Business, formal events, office work.","Solid, black.",加大碼T恤，柔軟棉質平紋布料，羅紋領口，低垂肩設計。,"NT$1,299",image/hm/woman/46.jpg
213,高腰慢跑褲,黑色,聚氨酯 100%,"Casual, comfortable, sporty, basic, relaxed-fit.","Casual, loungewear, athletic, exercise, relaxation.",Solid,"Loose-fit, single-breasted blazer with notch lapels, buttons at the front, welt front pockets and a single back vent. Lined.",NT$599,image/hm/woman/47.jpg
214,棉質平紋上衣,淺粉紅色,棉 100%,"Casual, simple, basic, modern","Casual, everyday wear.",Solid.," ""柔軟棉質絨布長褲，中腰寬鬆剪裁，覆面鬆緊帶腰圍配抽繩，有斜側袋和一個翻蓋式後袋。直筒褲管，膝部兩側有抓褶，可增加寬鬆度。褲腳有抽繩。""",NT$149,image/hm/woman/48.jpg
215,綢緞裙,黑色,"棉 48%, 莫代爾纖維 47%, 彈性纖維 5%","Elegant, classic, simple","Business, Formal, Office, Evening.",Solid," ""羅紋平紋T恤，柔軟棉質莫代爾纖維布料，合身剪裁，領口有窄飾邊，平切下襬。""",NT$799,image/hm/woman/49.jpg
216,方形剪裁T恤,白色,"聚酯纖維 77%, 嫘縈 18%, 彈性纖維 5%","Simple, casual, basic, classic, minimalist",Casualwear,"Solid, plain"," ""修身長褲，平織布料，高腰寬鬆剪裁，拉鍊門襟配隱形鈕扣和鉤扣，背面有覆面鬆緊帶。有斜側袋和嵌線後袋。收窄褲管上部有抓褶，前後有褶線。""",NT$299,image/hm/woman/50.jpg
